Search_method Problem Max_evals Run Score
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 24 2886
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 25 2682
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 26 2597
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 27 2651
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 28 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 29 2651
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 0 -6241
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 1 4780
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 2 -5199
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 3 4620
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 4 4720
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 5 -5608
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 6 -7419
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 7 -4779
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 8 -5056
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 9 -4645
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 10 -5806
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 11 4420
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 12 4860
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 13 4460
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 14 4420
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 15 -7628
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 16 -6784
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 17 4980
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 18 4580
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 19 -5265
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 20 4580
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 21 -4648
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 22 -4917
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 23 -5122
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 24 4640
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 25 -5894
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 26 -7693
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 27 -7686
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 28 4540
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 29 4300
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 0 -3639
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 1 3680
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 2 -3987
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 3 3611
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 4 -2802
