Search_method Problem Max_evals Run Score
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 0 1280
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 1 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 2 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 3 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 4 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 5 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 6 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 7 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 8 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 9 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 10 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 11 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 12 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 13 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 14 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 15 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 16 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 17 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 18 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 19 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 20 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 21 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 22 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 23 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 24 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 25 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 26 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 27 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 28 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 29 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 30 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 31 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 32 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 33 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 34 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 35 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 36 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 37 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 38 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 39 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 40 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 41 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 42 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 43 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 44 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 45 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 46 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 47 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 48 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 49 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 50 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 51 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 52 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 53 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 54 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 55 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 56 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 57 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 58 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 59 1400
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 0 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 1 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 2 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 3 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 4 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 5 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 6 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 7 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 8 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 9 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 10 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 11 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 12 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 13 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 14 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 15 907
