Search_method Problem Max_evals Run Score
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 0 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 1 1280
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 2 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 3 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 4 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 5 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 6 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 7 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 8 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 9 1400
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 0 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 1 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 2 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 3 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 4 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 5 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 6 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 7 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 8 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 9 907
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 0 2651
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 1 2864
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 2 2593
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 3 2538
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 4 2682
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 5 2597
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 6 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 7 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 8 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 9 2597
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 0 -4709
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 1 4500
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 2 -5117
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 3 4780
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 4 4860
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 5 -4580
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 6 4540
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 7 -5606
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 8 -6654
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 9 -5886
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 0 -3342
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 1 3594
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 2 -4743
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 3 3663
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 4 -2784
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 5 -3642
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 6 3594
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 7 -2847
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 8 3603
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 9 3575
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 0 10279
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 1 -4336
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 2 -5765
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 3 8765
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 4 -5187
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 5 9076
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 6 9348
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 7 -5386
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 8 9758
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 9 9849
