Search_method Problem Max_evals Run Score
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 0 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 1 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 2 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 3 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 4 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 5 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 6 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 7 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 8 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 9 1400
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 0 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 1 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 2 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 3 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 4 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 5 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 6 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 7 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 8 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 9 907
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 0 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 1 2864
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 2 2682
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 3 2886
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 4 2597
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 5 2651
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 6 2593
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 7 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 8 2593
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 9 2557
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 0 -5121
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 1 4500
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 2 -4987
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 3 -6380
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 4 -5688
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 5 4680
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 6 -4783
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 7 4780
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 8 -5599
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 9 -6297
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 0 3628
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 1 -4275
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 2 3575
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 3 -3900
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 4 -2973
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 5 -3051
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 6 3628
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 7 3620
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 8 -3048
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 9 -3336
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 0 -6315
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 1 10019
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 2 -4878
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 3 9829
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 4 10373
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 5 -5369
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 6 9650
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 7 10426
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 8 9678
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 9 9975
