Search_method Problem Max_evals Run Score
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 0 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 1 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 2 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 3 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 4 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 5 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 6 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 7 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 8 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 9 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 10 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 11 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 12 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 13 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 14 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 15 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 16 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 17 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 18 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 19 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 20 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 21 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 22 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 23 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 24 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 25 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 26 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 27 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 28 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 29 1440
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 0 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 1 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 2 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 3 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 4 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 5 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 6 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 7 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 8 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 9 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 10 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 11 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 12 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 13 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 14 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 15 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 16 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 17 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 18 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 19 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 20 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 21 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 22 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 23 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 24 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 25 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 26 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 27 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 28 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 29 907
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 0 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 1 2593
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 2 2593
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 3 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 4 2593
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 5 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 6 2671
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 7 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 8 2886
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 9 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 10 2864
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 11 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 12 2651
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 13 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 14 2864
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 15 2597
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 16 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 17 2682
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 18 2682
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 19 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 20 2886
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 21 2539
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 22 2597
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 23 2597
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 24 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 25 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 26 2886
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 27 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 28 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 29 2893
random_restart_hill_climber_penalized_score knapPI_11_200_1000_4 1000 0 -5817
